matchID,matchDate,match,match_location_date,toss,team1,team1_captain,team1_score,team2,team2_captain,team2_score,winner,result,player_of_the_match,team1_logo,team2_logo,team1_full_name,team2_full_name,team1_captain_image,team2_captain_image,player_of_the_match_image
T202552,"Apr 8, 2025",LSG Vs KKR,"21st Match (D/N), Eden Gardens, April 08, 2025,Indian Premier League","Kolkata Knight Riders, elected to field first",LSG,,238/3,KKR,Ajinkya Rahane,"(20 ov, T:239) 234/7",LSG,LSG won by 4 runs,Nicholas Pooran,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png,Lucknow Super Giants,Kolkata Knight Riders,,https://documents.iplt20.com/ipl/IPLHeadshot2025/44.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/136.png
T206019,"Apr 7, 2025",RCB Vs MI,"20th Match (N), Wankhede, April 07, 2025,Indian Premier League","Mumbai Indians, elected to field first",RCB,Rajat Patidar,221/5,MI,Hardik Pandya,"(20 ov, T:222) 209/9",RCB,RCB won by 12 runs,Rajat Patidar,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png,Royal Challengers Bengaluru,Mumbai Indians,https://documents.iplt20.com/ipl/IPLHeadshot2025/597.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/597.png
T209055,"Apr 6, 2025",SRH Vs GT,"19th Match (N), Hyderabad, April 06, 2025,Indian Premier League","Gujarat Titans, elected to field first",SRH,Pat Cummins,152/8,GT,Shubman Gill,"(16.4/20 ov, T:153) 153/3",GT,GT won by 7 wickets (with 20 balls remaining),Mohammed Siraj,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png,Sunrisers Hyderabad,Gujarat Titans,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/63.png
T209511,"Apr 5, 2025",RR Vs PBKS,"18th Match (N), New Chandigarh, April 05, 2025,Indian Premier League","Punjab Kings, elected to field first",RR,Sanju Samson,205/4,PBKS,Shreyas Iyer,"(20 ov, T:206) 155/9",RR,RR won by 50 runs,Jofra Archer,https://documents.iplt20.com/ipl/RR/Logos/Logooutline/RRoutline.png,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png,Rajasthan Royals,Punjab Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/190.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/181.png
T209585,"Apr 5, 2025",DC Vs CSK,"17th Match (D/N), Chennai, April 05, 2025,Indian Premier League","Delhi Capitals, elected to bat first",DC,Axar Patel,183/6,CSK,Ruturaj Gaikwad,"(20 ov, T:184) 158/5",DC,DC won by 25 runs,KL Rahul,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png,Delhi Capitals,Chennai Super Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/110.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/102.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/19.png
T204907,"Apr 4, 2025",LSG Vs MI,"16th Match (N), Lucknow, April 04, 2025,Indian Premier League","Mumbai Indians, elected to field first",LSG,Rishabh Pant,203/8,MI,Hardik Pandya,"(20 ov, T:204) 191/5",LSG,LSG won by 12 runs,Digvesh Rathi,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png,Lucknow Super Giants,Mumbai Indians,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/3565.png
T205793,"Apr 3, 2025",KKR Vs SRH,"15th Match (N), Eden Gardens, April 03, 2025,Indian Premier League","Sunrisers Hyderabad, elected to field first",KKR,Ajinkya Rahane,200/6,SRH,Pat Cummins,"(16.4/20 ov, T:201) 120",KKR,KKR won by 80 runs,Vaibhav Arora,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png,Kolkata Knight Riders,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/IPLHeadshot2025/44.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/583.png
T202765,"Apr 2, 2025",RCB Vs GT,"14th Match (N), Bengaluru, April 02, 2025,Indian Premier League","Gujarat Titans, elected to field first",RCB,Rajat Patidar,169/8,GT,Shubman Gill,"(17.5/20 ov, T:170) 170/2",GT,GT won by 8 wickets (with 13 balls remaining),Mohammed Siraj,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png,Royal Challengers Bengaluru,Gujarat Titans,https://documents.iplt20.com/ipl/IPLHeadshot2025/597.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/63.png
T208568,"Apr 1, 2025",LSG Vs PBKS,"13th Match (N), Lucknow, April 01, 2025,Indian Premier League","Punjab Kings, elected to field first",LSG,Rishabh Pant,171/7,PBKS,Shreyas Iyer,"(16.2/20 ov, T:172) 177/2",PBKS,PBKS won by 8 wickets (with 22 balls remaining),Prabhsimran Singh,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png,Lucknow Super Giants,Punjab Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/137.png
T201098,"Mar 31, 2025",KKR Vs MI,"12th Match (N), Wankhede, March 31, 2025,Indian Premier League","Mumbai Indians, elected to field first",KKR,Ajinkya Rahane,116,MI,Hardik Pandya,"(12.5/20 ov, T:117) 121/2",MI,MI won by 8 wickets (with 43 balls remaining),Ashwani Kumar,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png,Kolkata Knight Riders,Mumbai Indians,https://documents.iplt20.com/ipl/IPLHeadshot2025/44.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/3569.png
